A,B,V
0,0,1.0
1,1,1.0
2,2,1.0
3,3,1.0
4,4,1.0
5,5,1.0
5,39,1.0
5,95,1.0
5,212,1.0
5,313,1.0
5,378,1.0
5,380,1.0
5,442,1.0
5,474,1.0
5,534,1.0
6,6,1.0
7,7,1.0
8,8,1.0
9,9,1.0
10,10,1.0
11,11,1.0
12,12,1.0
13,13,1.0
13,17,1.0
13,503,1.0
14,14,1.0
15,15,1.0
16,16,1.0
16,85,1.0
16,155,1.0
16,193,1.0
17,13,1.0
17,17,1.0
18,18,1.0
19,19,1.0
20,20,1.0
20,116,1.0
20,387,1.0
20,487,1.0
21,21,1.0
22,22,1.0
23,23,1.0
24,24,1.0
25,25,1.0
26,26,1.0
27,27,1.0
28,28,1.0
29,29,1.0
30,30,1.0
30,167,1.0
30,191,1.0
31,31,1.0
32,32,1.0
32,49,1.0
32,85,1.0
32,95,1.0
32,109,1.0
32,122,1.0
32,162,1.0
32,168,1.0
32,169,1.0
32,204,1.0
32,211,1.0
32,218,1.0
32,231,1.0
32,232,1.0
32,233,1.0
32,244,1.0
32,255,1.0
32,269,1.0
32,280,1.0
32,285,1.0
32,301,1.0
32,343,1.0
32,374,1.0
32,378,1.0
32,420,1.0
32,438,1.0
32,448,1.0
32,449,1.0
32,454,1.0
32,489,1.0
32,546,1.0
33,33,1.0
34,34,1.0
34,182,1.0
35,35,1.0
36,36,1.0
36,246,1.0
37,37,1.0
37,530,1.0
38,38,1.0
39,5,1.0
39,39,1.0
39,95,1.0
39,212,1.0
39,313,1.0
39,378,1.0
39,380,1.0
39,442,1.0
39,474,1.0
39,534,1.0
40,40,1.0
41,41,1.0
42,42,1.0
43,43,1.0
44,44,1.0
45,45,1.0
46,46,1.0
47,47,1.0
48,48,1.0
49,32,1.0
49,49,1.0
50,50,1.0
51,51,1.0
52,52,1.0
53,53,1.0
53,107,1.0
53,117,1.0
53,124,1.0
53,165,1.0
53,428,1.0
53,441,1.0
53,445,1.0
53,455,1.0
53,472,1.0
53,480,1.0
53,530,1.0
54,54,1.0
54,104,1.0
54,150,1.0
54,160,1.0
54,318,1.0
54,347,1.0
54,361,1.0
54,400,1.0
54,408,1.0
54,460,1.0
54,468,1.0
54,538,1.0
55,55,1.0
56,56,1.0
56,72,1.0
56,455,1.0
56,498,1.0
57,57,1.0
58,58,1.0
59,59,1.0
60,60,1.0
61,61,1.0
61,68,1.0
61,76,1.0
61,366,1.0
61,385,1.0
61,388,1.0
61,438,1.0
61,461,1.0
61,481,1.0
61,538,1.0
62,62,1.0
63,63,1.0
64,64,1.0
65,65,1.0
66,66,1.0
67,67,1.0
67,294,1.0
68,61,1.0
68,68,1.0
69,69,1.0
70,70,1.0
71,71,1.0
72,56,1.0
72,72,1.0
73,73,1.0
74,74,1.0
75,75,1.0
76,61,1.0
76,76,1.0
77,77,1.0
77,451,1.0
78,78,1.0
79,79,1.0
80,80,1.0
81,81,1.0
82,82,1.0
82,154,1.0
82,183,1.0
82,204,1.0
82,266,1.0
82,327,1.0
83,83,1.0
84,84,1.0
84,152,1.0
85,16,1.0
85,32,1.0
85,85,1.0
86,86,1.0
87,87,1.0
88,88,1.0
89,89,1.0
89,468,1.0
89,494,1.0
90,90,1.0
91,91,1.0
92,92,1.0
93,93,1.0
94,94,1.0
94,202,1.0
95,5,1.0
95,32,1.0
95,39,1.0
95,95,1.0
96,96,1.0
97,97,1.0
97,149,1.0
97,207,1.0
97,258,1.0
97,262,1.0
97,368,1.0
98,98,1.0
99,99,1.0
100,100,1.0
101,101,1.0
102,102,1.0
102,112,1.0
102,122,1.0
102,152,1.0
102,161,1.0
