A,B,V
0,0,1.0
0,21,1.0
0,59,1.0
0,139,1.0
0,152,1.0
0,249,1.0
0,343,1.0
0,346,1.0
0,400,1.0
0,424,1.0
0,450,1.0
0,480,1.0
0,533,1.0
0,539,1.0
0,541,1.0
1,1,1.0
2,2,1.0
2,541,1.0
3,3,1.0
4,4,1.0
5,5,1.0
6,6,1.0
6,89,1.0
6,124,1.0
6,152,1.0
6,315,1.0
6,378,1.0
6,400,1.0
6,407,1.0
7,7,1.0
7,8,1.0
7,15,1.0
7,18,1.0
7,37,1.0
7,91,1.0
7,92,1.0
7,126,1.0
7,133,1.0
7,146,1.0
7,179,1.0
7,205,1.0
7,249,1.0
7,264,1.0
7,317,1.0
7,320,1.0
7,331,1.0
7,348,1.0
7,356,1.0
7,373,1.0
7,384,1.0
7,392,1.0
7,452,1.0
7,514,1.0
7,530,1.0
7,533,1.0
8,7,1.0
8,8,1.0
8,146,1.0
8,249,1.0
9,9,1.0
10,10,1.0
11,11,1.0
12,12,1.0
13,13,1.0
14,14,1.0
15,7,1.0
15,15,1.0
15,92,1.0
15,133,1.0
15,146,1.0
15,331,1.0
15,356,1.0
15,373,1.0
15,452,1.0
16,16,1.0
16,29,1.0
16,33,1.0
16,47,1.0
16,48,1.0
16,49,1.0
16,50,1.0
16,58,1.0
16,75,1.0
16,76,1.0
16,81,1.0
16,82,1.0
16,89,1.0
16,95,1.0
16,98,1.0
16,107,1.0
16,109,1.0
16,111,1.0
16,112,1.0
16,117,1.0
16,124,1.0
16,143,1.0
16,148,1.0
16,151,1.0
16,152,1.0
16,161,1.0
16,163,1.0
16,165,1.0
16,169,1.0
16,170,1.0
16,195,1.0
16,196,1.0
16,204,1.0
16,231,1.0
16,250,1.0
16,254,1.0
16,255,1.0
16,270,1.0
16,280,1.0
16,296,1.0
16,307,1.0
16,308,1.0
16,310,1.0
16,315,1.0
16,316,1.0
16,325,1.0
16,327,1.0
16,329,1.0
16,341,1.0
16,344,1.0
16,345,1.0
16,351,1.0
16,374,1.0
16,378,1.0
16,388,1.0
16,389,1.0
16,392,1.0
16,393,1.0
16,397,1.0
16,400,1.0
16,407,1.0
16,411,1.0
16,414,1.0
16,415,1.0
16,424,1.0
16,440,1.0
16,442,1.0
16,448,1.0
16,450,1.0
16,455,1.0
16,459,1.0
16,468,1.0
16,470,1.0
16,472,1.0
16,474,1.0
16,478,1.0
16,480,1.0
16,483,1.0
16,494,1.0
16,498,1.0
16,502,1.0
16,506,1.0
16,509,1.0
16,520,1.0
16,523,1.0
16,527,1.0
16,529,1.0
16,538,1.0
16,541,1.0
17,17,1.0
17,21,1.0
17,22,1.0
17,59,1.0
17,91,1.0
17,95,1.0
17,106,1.0
17,129,1.0
17,133,1.0
17,139,1.0
17,143,1.0
17,146,1.0
17,152,1.0
17,182,1.0
17,198,1.0
17,213,1.0
17,249,1.0
17,262,1.0
17,341,1.0
17,343,1.0
17,346,1.0
17,373,1.0
17,400,1.0
17,424,1.0
17,440,1.0
17,450,1.0
17,479,1.0
17,480,1.0
17,482,1.0
17,535,1.0
17,539,1.0
17,541,1.0
18,7,1.0
18,18,1.0
18,37,1.0
18,91,1.0
18,92,1.0
18,126,1.0
18,133,1.0
18,146,1.0
18,179,1.0
18,205,1.0
18,249,1.0
18,264,1.0
18,317,1.0
18,320,1.0
18,331,1.0
18,348,1.0
18,356,1.0
18,373,1.0
18,384,1.0
18,392,1.0
18,452,1.0
18,514,1.0
18,530,1.0
18,533,1.0
19,19,1.0
20,20,1.0
21,0,1.0
21,17,1.0
21,21,1.0
21,139,1.0
21,539,1.0
21,541,1.0
22,17,1.0
22,22,1.0
23,23,1.0
24,24,1.0
24,38,1.0
24,59,1.0
24,85,1.0
24,88,1.0
24,90,1.0
24,91,1.0
24,95,1.0
24,99,1.0
24,103,1.0
24,106,1.0
24,126,1.0
24,129,1.0
24,130,1.0
24,133,1.0
24,139,1.0
24,146,1.0
24,152,1.0
24,171,1.0
24,183,1.0
24,221,1.0
24,232,1.0
24,249,1.0
24,262,1.0
24,264,1.0
24,271,1.0
24,281,1.0
24,332,1.0
24,343,1.0
24,346,1.0
24,356,1.0
24,373,1.0
24,375,1.0
24,392,1.0
24,400,1.0
24,410,1.0
24,424,1.0
24,434,1.0
24,436,1.0
24,450,1.0
24,466,1.0
24,480,1.0
24,482,1.0
24,483,1.0
24,509,1.0
24,533,1.0
24,539,1.0
24,541,1.0
25,25,1.0
26,26,1.0
26,77,1.0
26,98,1.0
26,100,1.0
26,124,1.0
26,129,1.0
26,139,1.0
26,143,1.0
26,175,1.0
26,180,1.0
26,192,1.0
26,201,1.0
26,243,1.0
